@timestamp,auth_token_hash,method,path,path_normalized,remote_ip,request_id,response_size,response_time_ms,sampling_flag,status,upstream,user_agent,user_id_hash,user_role,waf_action,waf_rule_id,label
2026-03-07T23:19:06+00:00,(empty),GET,/api/users/by-email/admin1@test.com,/api/users/by-email/{email},172.20.0.10,6e9d7e0b9467045b03b086fcb5a9a1c6,147,1121.0,0,200,172.20.0.9:8000,python-httpx/0.28.1,(empty),(empty),(empty),(empty),0
2026-03-07T23:19:07+00:00,(empty),POST,/api/auth/login,/api/auth/login,172.20.0.10,666d7f5a337da305296534ea2bc12341,374,2718.0,0,200,172.20.0.15:8001,python-httpx/0.28.1,(empty),(empty),(empty),(empty),0
2026-03-07T23:39:43+00:00,(empty),GET,/api/users/by-email/user1@gmail.com,/api/users/by-email/{email},172.20.0.10,8dfa988e74940d8064a8ec5d85ee4499,146,1226.0,0,200,172.20.0.14:8000,python-httpx/0.28.1,(empty),(empty),(empty),(empty),0
2026-03-07T23:39:44+00:00,(empty),GET,/api/products/,/api/products,172.20.0.10,165262c7a70f4fb4d5340c984f1e706d,3328,462.0,0,200,172.20.0.13:8002,python-httpx/0.28.1,(empty),(empty),(empty),(empty),0
2026-03-07T23:39:44+00:00,(empty),POST,/api/auth/login,/api/auth/login,172.20.0.10,a4aa386c0fc1722e55e6338e3cc21ee6,372,2571.0,0,200,172.20.0.15:8001,python-httpx/0.28.1,(empty),(empty),(empty),(empty),0
2026-03-07T23:39:50+00:00,(empty),GET,/api/products/1,/api/products/{id},172.20.0.10,08cad2cf65e34845da8cb29a117a6a0f,156,40.0,0,200,172.20.0.13:8002,python-httpx/0.28.1,(empty),(empty),(empty),(empty),0
2026-03-07T23:39:50+00:00,54eb425aaa376bb00a99f9e68dc45c6c1bb5f95fd29603f80715dce4aa6a0aa7,GET,/api/cart/,/api/cart,172.20.0.10,c19d98da1051ac16be48e74fdf45788a,69,1091.0,0,200,172.20.0.12:8004,python-httpx/0.28.1,b822f99a7142e909d1b0df5b7f73270e083a1900bc11003d8e4dfcf5f53f7f5e,USER,(empty),(empty),0
2026-03-07T23:56:50+00:00,54eb425aaa376bb00a99f9e68dc45c6c1bb5f95fd29603f80715dce4aa6a0aa7,GET,/api/cart/,/api/cart,172.20.0.10,3b31eaee1cd1d8a3e14f75366bfc0970,69,111.0,0,200,172.20.0.14:8004,python-httpx/0.28.1,b822f99a7142e909d1b0df5b7f73270e083a1900bc11003d8e4dfcf5f53f7f5e,USER,(empty),(empty),0
2026-03-07T23:56:51+00:00,(empty),GET,/api/products/1,/api/products/{id},172.20.0.10,dc6ca408f83eb5cd32af601495474b23,156,171.0,0,200,172.20.0.11:8002,python-httpx/0.28.1,(empty),(empty),(empty),(empty),0
2026-03-07T23:57:21+00:00,(empty),GET,/api/products/1,/api/products/{id},172.20.0.10,308d7e77fab43a67e0bed61016315542,156,181.0,0,200,172.20.0.11:8002,python-httpx/0.28.1,(empty),(empty),(empty),(empty),0
